Pclass,Sex,Age,SibSp,Parch,Survived
3,0,9.000000,4,2,0
2,0,1.000000,2,1,1
3,1,4.000000,0,2,1
1,0,39.000000,0,0,0
3,1,15.000000,1,0,1
1,0,45.000000,0,0,1
3,0,40.000000,1,1,0
3,0,36.000000,0,0,0
2,1,32.000000,0,0,1
2,0,19.000000,0,0,0
3,1,19.000000,1,0,1
2,0,3.000000,1,1,1
1,1,44.000000,0,0,1
1,1,58.000000,0,0,1
3,0,32.000000,0,0,0
3,0,42.000000,0,1,0
3,1,63.000000,0,0,1
2,1,24.000000,0,0,0
3,0,28.000000,0,0,0
3,0,0.000000,8,2,0
3,0,34.000000,0,0,0
3,0,45.500000,0,0,0
3,0,18.000000,0,0,1
3,1,2.000000,0,1,0
3,0,32.000000,1,0,0
3,0,26.000000,0,0,1
3,1,16.000000,0,0,1
1,0,40.000000,0,0,1
3,0,24.000000,0,0,0
2,1,35.000000,0,0,1
3,0,22.000000,0,0,0
2,0,30.000000,0,0,0
3,0,25.000000,1,0,0
1,1,31.000000,1,0,1
3,1,27.000000,0,0,1
2,0,42.000000,1,0,0
1,1,32.000000,0,0,1
2,0,30.000000,0,0,0
3,0,16.000000,0,0,1
2,0,27.000000,0,0,0
3,0,51.000000,0,0,0
3,0,32.000000,0,0,0
1,0,38.000000,1,0,1
3,0,22.000000,0,0,0
2,0,19.000000,0,0,1
3,0,20.500000,0,0,0
2,0,18.000000,0,0,0
3,1,8.000000,3,1,0
1,1,35.000000,1,0,1
3,0,29.000000,0,0,0
2,0,59.000000,0,0,0
3,1,5.000000,4,2,1
2,0,24.000000,0,0,0
3,1,45.000000,0,0,0
2,0,44.000000,1,0,0
2,1,8.000000,0,2,1
2,0,19.000000,0,0,0
2,0,33.000000,0,0,0
3,1,21.000000,1,0,0
3,1,15.000000,1,0,1
2,0,29.000000,0,0,0
3,0,22.000000,0,0,0
3,0,30.000000,0,0,0
1,0,44.000000,2,0,0
3,1,25.000000,0,0,0
2,1,24.000000,0,2,1
1,0,37.000000,1,1,1
2,0,54.000000,1,0,0
3,0,32.000000,0,0,0
3,1,29.000000,1,1,0
1,0,62.000000,0,0,0
3,0,30.000000,1,0,0
3,1,41.000000,0,2,0
3,1,29.000000,0,2,1
1,1,49.000000,0,0,1
1,1,30.000000,0,0,1
1,1,35.000000,0,0,1
2,1,50.000000,0,1,1
3,0,32.000000,0,0,0
3,0,3.000000,4,2,1
1,0,52.000000,1,1,0
1,0,40.000000,0,0,0
3,1,45.000000,0,0,0
2,0,36.000000,0,0,0
3,0,16.000000,4,1,0
3,0,25.000000,1,0,1
1,1,58.000000,0,1,1
1,1,35.000000,0,0,1
1,0,39.000000,0,0,0
3,0,25.000000,0,0,1
2,1,41.000000,0,1,1
1,0,37.000000,0,1,0
3,1,63.000000,0,0,1
1,1,63.000000,1,0,1
3,1,45.000000,0,0,0
2,0,39.000000,0,0,0
3,0,7.000000,4,1,0
3,1,35.000000,1,1,1
3,0,65.000000,0,0,0
3,0,28.000000,0,0,0
3,0,16.000000,0,0,0
3,0,19.000000,0,0,1
1,0,39.000000,0,0,0
3,0,33.000000,0,0,0
3,0,30.000000,0,0,1
3,0,22.000000,0,0,0
2,0,42.000000,0,0,1
3,1,22.000000,0,0,1
1,1,26.000000,0,0,1
1,1,19.000000,1,0,1
2,0,36.000000,0,0,0
3,1,24.000000,0,0,0
3,0,24.000000,0,0,0
1,0,39.000000,0,0,0
3,0,23.500000,0,0,0
1,1,2.000000,1,2,0
1,0,48.000000,0,0,1
1,1,50.000000,0,1,1
3,1,63.000000,0,0,1
3,0,28.000000,2,0,1
3,0,19.000000,0,0,0
2,1,50.000000,0,0,1
3,0,32.000000,0,0,0
1,0,0.920000,1,2,1
1,1,49.000000,0,0,1
1,1,17.000000,1,0,1
2,0,30.000000,1,0,0
1,1,30.000000,0,0,1
1,1,24.000000,0,0,1
1,1,18.000000,2,2,1
2,1,26.000000,1,1,0
3,0,28.000000,0,0,0
2,0,43.000000,1,1,0
3,1,26.000000,0,0,1
2,1,24.000000,1,0,1
2,0,54.000000,0,0,0
1,1,31.000000,0,2,1
1,1,40.000000,1,1,1
3,0,22.000000,0,0,0
3,0,27.000000,0,0,0
2,1,30.000000,0,0,1
2,1,22.000000,1,1,1
3,0,0.000000,8,2,0
1,1,36.000000,0,0,1
3,0,61.000000,0,0,0
2,1,36.000000,0,0,1
3,1,31.000000,1,1,1
1,1,16.000000,0,1,1
3,1,15.000000,2,0,1
1,0,45.500000,0,0,0
1,0,38.000000,0,1,0
3,0,16.000000,2,0,0
1,1,60.000000,1,0,1
3,0,32.000000,0,0,0
1,0,29.000000,1,0,0
1,1,41.000000,0,0,1
3,0,45.000000,0,0,1
1,0,45.000000,0,0,0
2,0,2.000000,1,1,1
1,1,24.000000,3,2,1
2,0,28.000000,0,0,0
2,0,25.000000,0,0,0
2,0,36.000000,0,0,0
2,1,24.000000,0,0,1
2,1,40.000000,0,0,1
3,1,15.000000,1,0,1
3,0,3.000000,1,1,1
3,0,42.000000,0,0,0
3,0,23.000000,0,0,0
1,0,39.000000,0,0,0
3,0,15.000000,1,1,0
3,0,25.000000,1,0,0
3,0,32.000000,0,0,0
3,0,28.000000,0,0,0
1,1,22.000000,0,1,1
2,1,38.000000,0,0,0
3,1,63.000000,0,0,1
3,1,63.000000,0,0,1
3,0,40.000000,1,4,0
2,0,29.000000,1,0,0
3,1,45.000000,0,1,0
3,0,35.000000,0,0,0
3,0,25.000000,1,0,0
3,0,30.000000,0,0,0
1,1,60.000000,1,0,1
3,1,63.000000,0,0,1
3,1,63.000000,0,0,1
1,1,24.000000,0,0,1
1,0,25.000000,1,0,1
3,0,18.000000,1,0,0
3,0,19.000000,0,0,0
1,0,22.000000,0,0,0
3,1,3.000000,3,1,0
1,1,60.000000,1,0,1
3,1,22.000000,0,0,1
1,0,27.000000,0,2,0
3,0,20.000000,0,0,0
3,0,19.000000,0,0,0
1,1,42.000000,0,0,1
3,1,1.000000,0,2,1
3,0,32.000000,0,0,0
1,1,35.000000,1,0,1
3,0,32.000000,0,0,0
2,0,18.000000,0,0,0
3,0,1.000000,5,2,0
2,1,36.000000,0,0,1
3,0,32.000000,0,0,0
2,1,17.000000,0,0,1
1,0,36.000000,1,2,1
3,0,21.000000,0,0,1
3,0,28.000000,2,0,0
1,1,23.000000,1,0,1
3,1,24.000000,0,2,1
3,0,22.000000,0,0,0
3,1,31.000000,0,0,0
2,0,46.000000,0,0,0
2,0,23.000000,0,0,0
2,1,28.000000,0,0,1
3,0,39.000000,0,0,1
3,0,26.000000,0,0,0
3,1,21.000000,1,0,0
3,0,28.000000,1,0,0
3,1,20.000000,0,0,0
2,0,34.000000,1,0,0
3,0,51.000000,0,0,0
2,0,3.000000,1,1,1
3,0,21.000000,0,0,0
3,1,8.000000,3,1,0
3,0,32.000000,0,0,0
3,0,32.000000,0,0,0
1,1,33.000000,1,0,1
2,0,39.000000,0,0,0
3,0,44.000000,0,0,1
3,1,45.000000,0,0,0
2,1,34.000000,1,1,1
2,1,18.000000,0,2,1
2,0,30.000000,0,0,0
3,1,10.000000,0,2,0
3,0,32.000000,0,0,0
3,0,21.000000,0,0,0
3,0,29.000000,0,0,0
3,1,28.000000,1,1,0
3,0,18.000000,1,1,0
3,0,32.000000,0,0,0
2,1,28.000000,1,0,1
2,1,19.000000,0,0,1
3,0,32.000000,0,0,0
3,0,32.000000,0,0,1
1,0,28.000000,0,0,1
3,1,15.000000,1,0,1
2,1,42.000000,1,0,1
3,0,17.000000,0,0,0
1,0,50.000000,1,0,0
1,1,14.000000,1,2,1
3,1,21.000000,2,2,0
2,1,24.000000,2,3,1
1,0,64.000000,1,4,0
2,0,31.000000,0,0,0
2,1,45.000000,1,1,1
3,0,20.000000,0,0,0
3,0,25.000000,1,0,0
2,1,28.000000,0,0,1
3,0,30.000000,0,0,1
1,0,4.000000,0,2,1
2,1,13.000000,0,1,1
1,0,34.000000,0,0,1
3,1,5.000000,2,1,1
1,0,52.000000,0,0,1
2,0,36.000000,1,2,0
3,0,25.000000,1,0,0
1,0,30.000000,0,0,0
1,0,49.000000,1,0,1
3,0,32.000000,0,0,0
3,0,29.000000,0,0,1
1,0,65.000000,0,0,0
1,1,60.000000,1,0,1
2,1,50.000000,0,0,1
3,0,32.000000,0,0,0
1,0,48.000000,0,0,1
3,0,34.000000,0,0,0
1,0,47.000000,0,0,0
2,0,48.000000,0,0,0
3,0,32.000000,0,0,0
3,0,38.000000,0,0,0
2,0,39.000000,0,0,0
1,0,56.000000,0,0,0
3,0,32.000000,0,0,0
3,1,0.750000,2,1,1
3,0,32.000000,0,0,0
3,0,38.000000,0,0,0
2,1,33.000000,1,2,1
2,1,23.000000,0,0,1
3,1,22.000000,0,0,0
1,0,39.000000,0,0,0
2,0,34.000000,1,0,0
3,0,29.000000,1,0,0
3,0,22.000000,0,0,0
3,1,2.000000,0,1,1
3,0,9.000000,5,2,0
2,0,39.000000,0,0,0
3,0,50.000000,0,0,0
3,1,63.000000,0,0,1
1,0,25.000000,1,0,1
3,1,8.000000,3,1,0
1,1,35.000000,1,0,1
1,0,58.000000,0,0,0
3,0,30.000000,0,0,0
3,0,9.000000,1,1,1
3,0,25.000000,1,0,0
3,0,21.000000,0,0,0
1,0,55.000000,0,0,0
1,0,71.000000,0,0,0
3,0,21.000000,0,0,0
3,0,32.000000,0,0,0
1,1,54.000000,1,0,1
3,0,32.000000,0,0,0
1,1,25.000000,1,2,0
3,0,24.000000,0,0,0
3,0,17.000000,0,0,0
3,1,21.000000,0,0,0
3,1,45.000000,0,0,0
3,1,37.000000,0,0,0
1,1,16.000000,0,0,1
1,0,18.000000,1,0,0
2,1,33.000000,0,2,1
1,0,48.000000,0,0,1
3,0,28.000000,0,0,0
3,0,26.000000,0,0,1
3,0,29.000000,0,0,1
3,0,32.000000,0,0,0
1,0,36.000000,0,0,1
1,1,54.000000,1,0,1
3,0,24.000000,0,0,0
1,0,47.000000,0,0,0
2,1,34.000000,0,0,1
3,0,32.000000,0,0,0
2,1,36.000000,1,0,1
3,0,32.000000,0,0,0
1,1,30.000000,0,0,1
3,0,22.000000,0,0,0
3,0,32.000000,0,0,0
1,1,44.000000,0,1,1
3,0,32.000000,0,0,0
3,0,40.500000,0,0,0
2,1,50.000000,0,0,1
1,0,39.000000,0,0,0
3,0,39.000000,0,0,0
2,0,23.000000,2,1,0
2,1,2.000000,1,1,1
3,0,32.000000,0,0,0
3,0,17.000000,1,1,0
3,1,27.000000,0,2,1
3,1,30.000000,0,0,0
2,1,7.000000,0,2,1
1,0,45.000000,0,0,0
1,1,30.000000,0,0,1
3,0,32.000000,0,0,0
1,1,22.000000,0,2,1
1,1,36.000000,0,2,1
3,1,9.000000,4,2,0
3,1,11.000000,4,2,0
2,0,32.000000,1,0,1
1,0,50.000000,1,0,0
1,0,64.000000,0,0,0
2,1,19.000000,1,0,1
2,0,62.000000,0,0,1
3,0,33.000000,1,1,0
2,0,8.000000,1,1,1
1,0,17.000000,0,2,1
2,0,27.000000,0,0,0
3,0,32.000000,0,0,0
3,0,22.000000,0,0,1
3,1,22.000000,0,0,1
1,0,62.000000,0,0,0
1,1,48.000000,1,0,1
1,0,39.000000,0,0,0
1,1,39.000000,1,1,1
3,1,36.000000,1,0,1
3,0,32.000000,0,0,0
3,0,40.000000,0,0,0
2,0,28.000000,0,0,0
3,0,32.000000,0,0,0
3,1,45.000000,0,0,0
3,0,24.000000,2,0,0
3,0,19.000000,0,0,0
3,1,29.000000,0,4,0
3,0,32.000000,0,0,0
3,0,32.000000,0,0,1
2,0,62.000000,0,0,1
1,1,53.000000,2,0,1
1,0,36.000000,0,0,1
3,1,63.000000,0,0,1
3,0,16.000000,0,0,0
3,0,19.000000,0,0,0
2,1,34.000000,0,0,1
1,1,39.000000,1,0,1
3,1,21.000000,1,0,0
3,0,32.000000,0,0,1
2,1,25.000000,1,1,1
1,1,39.000000,1,1,1
2,0,54.000000,0,0,0
1,0,36.000000,0,0,0
3,0,32.000000,0,0,0
1,1,18.000000,0,2,1
2,0,47.000000,0,0,0
1,0,60.000000,1,1,1
3,0,22.000000,0,0,0
3,0,32.000000,0,0,0
3,0,35.000000,0,0,0
1,1,52.000000,1,0,1
3,0,47.000000,0,0,0
3,1,41.000000,0,2,0
2,0,37.000000,1,0,0
3,0,36.000000,1,1,0
2,1,50.000000,0,0,1
3,0,49.000000,0,0,0
3,0,32.000000,0,0,0
1,0,49.000000,1,0,1
2,1,24.000000,2,1,1
3,0,32.000000,0,0,0
1,0,39.000000,0,0,0
3,0,44.000000,0,0,0
1,0,35.000000,0,0,1
3,0,36.000000,1,0,0
3,0,30.000000,0,0,0
1,0,27.000000,0,0,1
2,1,22.000000,1,2,1
1,1,40.000000,0,0,1
3,1,39.000000,1,5,0
3,0,32.000000,0,0,0
3,1,15.000000,1,0,1
3,0,32.000000,0,0,0
3,0,35.000000,0,0,0
2,1,24.000000,1,2,1
3,0,34.000000,1,1,0
3,1,26.000000,1,0,0
2,1,4.000000,2,1,1
2,0,26.000000,0,0,0
3,0,27.000000,1,0,0
1,0,42.000000,1,0,1
3,0,20.000000,1,1,1
3,0,21.000000,0,0,0
3,0,21.000000,0,0,0
1,0,61.000000,0,0,0
2,0,57.000000,0,0,0
1,1,21.000000,0,0,1
3,0,26.000000,0,0,0
3,0,32.000000,0,0,0
1,0,80.000000,0,0,1
3,0,51.000000,0,0,0
1,0,32.000000,0,0,1
1,0,39.000000,0,0,0
3,1,9.000000,3,2,0
2,1,28.000000,0,0,1
3,0,32.000000,0,0,0
2,0,31.000000,1,1,0
3,1,41.000000,0,5,0
3,0,25.000000,1,0,0
3,0,20.000000,0,0,0
1,1,24.000000,0,0,1
3,1,2.000000,3,2,0
3,0,30.000000,0,0,1
3,1,0.750000,2,1,1
1,0,48.000000,1,0,1
3,0,19.000000,0,0,0
1,0,56.000000,0,0,1
3,0,32.000000,0,0,0
3,1,23.000000,0,0,1
3,0,32.000000,0,0,0
2,1,18.000000,0,1,1
3,0,21.000000,0,0,0
3,1,63.000000,0,0,1
3,1,18.000000,0,0,0
2,0,24.000000,2,0,0
3,0,32.000000,0,0,0
3,1,32.000000,1,1,0
2,0,23.000000,0,0,0
1,0,58.000000,0,2,0
1,0,50.000000,2,0,1
3,0,40.000000,0,0,0
1,0,47.000000,0,0,0
3,0,36.000000,0,0,0
3,0,20.000000,1,0,1
2,0,32.000000,2,0,0
2,0,25.000000,0,0,0
3,0,32.000000,0,0,0
3,0,43.000000,0,0,0
1,1,60.000000,1,0,1
2,1,40.000000,1,1,1
1,0,31.000000,1,0,0
2,0,70.000000,0,0,0
2,0,31.000000,0,0,1
2,0,39.000000,0,0,0
3,0,18.000000,0,0,0
3,0,24.500000,0,0,0
3,1,18.000000,0,0,1
3,1,43.000000,1,6,0
1,0,36.000000,0,1,1
3,1,45.000000,0,0,0
1,0,27.000000,0,0,1
3,0,20.000000,0,0,0
3,0,14.000000,5,2,0
2,0,60.000000,1,1,0
2,0,25.000000,1,2,0
3,0,14.000000,4,1,0
3,0,19.000000,0,0,0
3,0,18.000000,0,0,0
1,1,15.000000,0,1,1
1,0,31.000000,1,0,1
3,1,4.000000,0,1,1
3,0,30.000000,0,0,1
3,0,25.000000,0,0,0
1,0,60.000000,0,0,0
2,0,52.000000,0,0,0
3,0,44.000000,0,0,0
3,1,63.000000,0,0,1
1,0,49.000000,1,1,0
3,0,42.000000,0,0,0
1,1,18.000000,1,0,1
1,0,35.000000,0,0,1
3,1,18.000000,0,1,0
3,0,25.000000,0,0,0
3,0,26.000000,1,0,0
2,0,39.000000,0,0,0
2,1,45.000000,0,0,1
1,0,42.000000,0,0,1
1,1,22.000000,0,0,1
3,0,20.000000,1,1,1
1,1,24.000000,0,0,1
1,0,39.000000,0,0,0
1,0,48.000000,1,0,1
3,0,29.000000,0,0,0
2,0,52.000000,0,0,0
3,0,19.000000,0,0,0
1,1,38.000000,0,0,1
2,1,27.000000,0,0,1
3,0,32.000000,0,0,0
3,0,33.000000,0,0,0
2,1,6.000000,0,1,1
3,0,17.000000,1,0,0
2,0,34.000000,0,0,0
2,0,50.000000,0,0,0
1,0,27.000000,1,0,1
3,0,20.000000,0,0,0
2,1,30.000000,3,0,1
3,1,63.000000,0,0,1
2,0,25.000000,1,0,0
3,1,25.000000,1,0,0
1,1,29.000000,0,0,1
3,0,11.000000,0,0,0
2,0,39.000000,0,0,0
2,0,23.000000,0,0,0
2,0,23.000000,0,0,0
3,0,28.500000,0,0,0
3,1,48.000000,1,3,0
1,0,35.000000,0,0,1
3,0,32.000000,0,0,0
3,0,32.000000,0,0,0
1,0,48.000000,0,0,1
1,0,36.000000,1,0,0
1,1,21.000000,2,2,1
3,0,24.000000,1,0,0
3,0,31.000000,0,0,1
1,0,70.000000,1,1,0
3,0,16.000000,1,1,0
2,1,30.000000,0,0,1
1,0,19.000000,1,0,0
3,0,31.000000,0,0,0
2,1,4.000000,1,1,1
3,0,6.000000,0,1,1
3,0,33.000000,0,0,0
3,0,23.000000,0,0,0
2,1,48.000000,1,2,1
2,0,0.670000,1,1,1
3,0,28.000000,0,0,0
2,0,18.000000,0,0,0
3,0,34.000000,0,0,0
1,1,33.000000,0,0,1
3,0,32.000000,0,0,0
3,0,41.000000,0,0,0
3,0,20.000000,0,0,1
1,1,36.000000,1,2,1
3,0,16.000000,0,0,0
1,1,51.000000,1,0,1
1,0,39.000000,0,0,0
3,1,30.500000,0,0,0
3,0,25.000000,1,0,0
3,0,32.000000,0,0,0
3,0,24.000000,0,0,0
3,0,48.000000,0,0,0
2,1,57.000000,0,0,0
3,0,32.000000,0,0,0
2,1,54.000000,1,3,1
3,0,18.000000,0,0,0
3,0,32.000000,0,0,0
3,1,5.000000,0,0,1
3,0,32.000000,0,0,0
1,1,43.000000,0,1,1
3,1,13.000000,0,0,1
1,1,17.000000,1,0,1
1,0,29.000000,0,0,0
3,0,34.000000,1,2,0
3,0,25.000000,0,0,0
3,0,25.000000,0,0,0
3,1,18.000000,0,0,1
3,0,8.000000,4,1,0
3,0,1.000000,1,2,1
1,0,46.000000,0,0,0
3,0,32.000000,0,0,0
2,0,16.000000,0,0,0
3,1,0.000000,8,2,0
1,0,39.000000,0,0,0
3,0,25.000000,0,0,0
2,0,39.000000,0,0,0
1,1,49.000000,0,0,1
3,1,31.000000,0,0,1
3,0,30.000000,0,0,0
3,1,30.000000,1,1,0
2,0,34.000000,0,0,0
2,1,31.000000,1,1,1
1,0,11.000000,1,2,1
3,0,0.420000,0,1,1
3,0,27.000000,0,0,1
3,0,31.000000,0,0,0
1,0,39.000000,0,0,0
3,1,18.000000,0,0,0
2,0,39.000000,0,0,0
1,1,33.000000,1,0,1
3,0,26.000000,0,0,0
3,0,39.000000,0,0,0
2,0,35.000000,0,0,0
3,1,6.000000,4,2,0
3,0,30.500000,0,0,0
1,0,39.000000,0,0,0
3,1,23.000000,0,0,0
2,0,31.000000,1,1,0
3,0,43.000000,0,0,0
3,0,10.000000,3,2,0
1,1,52.000000,1,1,1
3,0,27.000000,0,0,1
1,0,38.000000,0,0,0
3,1,27.000000,0,1,1
3,0,2.000000,4,1,0
3,0,32.000000,0,0,0
3,0,32.000000,0,0,0
2,0,1.000000,0,2,1
3,0,30.000000,0,0,1
1,1,62.000000,0,0,1
3,1,15.000000,1,0,1
2,0,0.830000,1,1,1
3,0,32.000000,0,0,0
3,0,23.000000,0,0,0
3,0,18.000000,0,0,0
1,1,39.000000,1,1,1
3,0,21.000000,0,0,0
3,0,32.000000,0,0,0
3,0,32.000000,0,0,1
1,0,48.000000,0,0,1
3,0,20.000000,0,0,0
2,0,16.000000,0,0,0
1,1,30.000000,0,0,1
3,0,34.500000,0,0,0
3,0,17.000000,0,0,0
3,0,42.000000,0,0,0
3,0,0.000000,8,2,0
3,0,35.000000,0,0,0
2,0,28.000000,0,1,0
1,1,60.000000,1,0,1
3,0,4.000000,4,2,0
3,0,74.000000,0,0,0
3,1,9.000000,1,1,0
1,1,16.000000,0,1,1
2,1,44.000000,1,0,0
3,1,18.000000,0,1,1
1,1,45.000000,1,1,1
1,0,51.000000,0,0,1
3,1,24.000000,0,3,1
3,0,32.000000,0,0,0
3,0,41.000000,2,0,0
2,0,21.000000,1,0,0
1,1,48.000000,0,0,1
3,1,0.000000,8,2,0
2,0,24.000000,0,0,0
2,1,42.000000,0,0,1
2,1,27.000000,1,0,1
1,0,31.000000,0,0,0
3,0,32.000000,0,0,0
3,0,4.000000,1,1,1
3,0,26.000000,0,0,0
1,1,47.000000,1,1,1
1,0,33.000000,0,0,0
3,0,47.000000,0,0,0
2,1,28.000000,1,0,1
3,1,15.000000,0,0,1
3,0,20.000000,0,0,0
3,0,19.000000,0,0,0
3,0,32.000000,0,0,0
1,1,56.000000,0,1,1
2,1,25.000000,0,1,1
3,0,33.000000,0,0,0
3,1,22.000000,0,0,0
2,0,28.000000,0,0,0
3,0,25.000000,0,0,0
3,1,39.000000,0,5,0
2,0,27.000000,0,0,0
1,1,19.000000,0,0,1
3,1,34.000000,1,2,0
1,0,26.000000,0,0,1
3,0,32.000000,0,0,0
